Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
9/20/22,87.733,1216,87.368,400,87.915,768
9/20/22,83.221,0,83.043,0,83.043,0
9/21/22,79.502,0,79.326,0,79.502,0
9/21/22,80.206,704,79.151,512,79.151,496
9/21/22,86.459,416,86.641,512,87.186,336
9/21/22,85.194,0,85.014,0,85.194,0
9/22/22,81.09,0,80.735,0,81.09,0
9/22/22,82.686,320,81.09,896,81.09,800
9/22/22,85.014,224,85.014,168,85.014,216
9/22/22,81.621,0,81.266,0,81.442,0
9/23/22,79.678,0,79.326,0,79.502,0
9/23/22,81.975,352,80.735,1792,80.911,288
9/23/22,85.194,1024,84.654,768,84.295,576
9/23/22,81.266,0,81.09,0,81.266,0
9/24/22,79.678,0,79.502,0,79.502,0
9/24/22,80.206,1472,80.029,800,80.382,288
9/24/22,87.368,704,87.186,896,87.186,768
9/24/22,81.266,0,81.09,0,81.266,0
9/25/22,79.326,0,79.151,0,79.326,0
9/25/22,80.911,384,80.559,512,80.382,256
9/25/22,89.017,512,88.466,1344,88.099,512
9/25/22,83.399,0,83.043,0,83.221,0
9/26/22,79.853,0,79.326,0,78.624,0
9/26/22,80.911,576,79.853,432,79.853,416
9/26/22,88.282,704,88.833,768,88.833,768
9/26/22,84.654,0,84.295,0,84.474,0
9/27/22,78.098,0,78.098,0,78.449,0
9/27/22,80.559,1408,79.853,368,79.678,144
9/27/22,88.282,2304,88.833,704,88.833,672
9/27/22,83.043,0,82.686,0,82.864,0
9/28/22,78.449,0,78.098,0,78.449,0
9/28/22,79.678,17408,79.326,256,79.326,232
9/28/22,87.368,608,87.552,576,87.552,608
9/28/22,85.194,0,84.834,0,85.014,0
9/29/22,79.151,0,78.8,0,78.975,0
9/29/22,79.151,114,78.8,136,79.151,123
9/29/22,87.004,1088,87.186,1152,86.097,704
9/29/22,83.043,0,82.686,0,82.864,0
9/30/22,79.151,0,78.975,0,79.326,0
9/30/22,81.621,896,80.735,216,80.911,200
9/30/22,89.384,992,89.938,864,89.569,864
9/30/22,85.014,0,84.654,0,84.834,0
10/1/22,79.853,0,79.678,0,80.029,0
10/1/22,80.029,75,79.326,110,79.502,125
10/1/22,87.368,480,87.186,496,87.552,672
10/1/22,83.579,0,83.757,0,83.757,0
10/2/22,81.975,0,81.797,0,81.975,0
10/2/22,80.911,60,80.735,120,80.911,96
10/2/22,82.864,576,82.508,608,82.686,352
10/2/22,80.735,0,80.559,0,80.735,0
10/3/22,78.975,0,78.624,0,78.975,0
10/3/22,80.911,224,80.029,400,80.559,232
10/3/22,86.097,87,87.552,1536,87.368,1152
10/3/22,81.797,0,81.442,0,81.621,0
10/4/22,80.559,0,80.559,0,80.735,0
10/4/22,81.266,144,80.911,304,80.911,256
10/4/22,83.935,512,84.115,672,84.295,2048
10/4/22,80.559,0,80.382,0,80.559,0
10/5/22,79.853,0,79.678,0,79.853,0
10/5/22,79.853,256,79.502,216,79.502,152
10/5/22,86.459,1152,87.186,800,86.277,800
10/5/22,83.579,0,83.579,0,83.579,0
10/6/22,81.09,0,80.911,0,81.09,0
10/6/22,80.911,184,80.206,416,80.382,352
10/6/22,85.915,1664,86.823,672,87.004,672
10/6/22,83.221,0,83.043,0,83.043,0
10/7/22,81.442,0,81.266,0,81.442,0
10/7/22,81.975,2816,80.735,704,81.442,416
10/7/22,87.368,1408,87.186,1728,86.823,1088
10/7/22,83.579,0,83.579,0,83.579,0
10/8/22,81.442,0,81.09,0,81.266,0
10/8/22,82.33,272,81.09,672,81.266,256
10/8/22,88.833,768,89.569,992,89.755,1024
10/8/22,84.654,0,84.654,0,84.834,0
10/9/22,82.33,0,82.152,0,82.152,0
10/9/22,82.686,152,81.797,704,81.975,232
10/9/22,88.65,6656,89.384,960,88.833,960
10/9/22,84.295,0,83.935,0,84.115,0
10/10/22,81.442,0,81.442,0,81.442,0
10/10/22,82.686,192,81.975,512,82.33,176
10/10/22,85.374,240,85.014,240,85.014,119
