Date,Month,Year,Time,Tide,Site,Scientific_Name,Common_Name,Family,Size_cm,Number,Notes
8/24/22,8,2022,13:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,10,
8/24/22,8,2022,13:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,6,1,
8/24/22,8,2022,13:00,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,5,1,
8/24/22,8,2022,13:00,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,2,10,
8/24/22,8,2022,13:00,Rising,R1,Chromis agilis,Agile Chromis,Damselfish,5,1,
8/24/22,8,2022,13:00,Rising,R1,Stegastes marginatus,Hawaiian Gregory,Damselfish,4,3,
8/24/22,8,2022,13:00,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,3,1,
8/24/22,8,2022,13:00,Rising,R1,NA,Snail,Snail,2,10,
8/24/22,8,2022,13:00,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,2,
8/24/22,8,2022,13:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,16,
8/24/22,8,2022,13:00,Rising,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,15,1,
8/24/22,8,2022,13:00,Rising,R2,Stegastes marginatus,Hawaiian Gregory,Damselfish,5,2,
8/24/22,8,2022,13:00,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,2,3,
8/24/22,8,2022,13:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,15,
8/24/22,8,2022,13:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,15,1,
8/24/22,8,2022,13:00,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,3,1,
8/24/22,8,2022,13:00,Rising,R3,Stethojulis balteata,Belted Wrasse,Wrasse,8,1,
8/24/22,8,2022,13:00,Rising,R3,Parrotfish sp. ,Parrotfish sp.,Parrotfish,2,3,
8/24/22,8,2022,13:00,Rising,R3,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,3,1,
9/20/22,9,2022,10:40,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,20,
9/20/22,9,2022,10:40,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,5,4,
9/20/22,9,2022,10:40,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,5,3,
9/20/22,9,2022,10:40,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,7,1,
9/20/22,9,2022,10:40,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,4,1,
9/20/22,9,2022,10:40,Rising,R1,NA,Parrotfish sp.,Parrotfish,3,2,
9/20/22,9,2022,10:40,Rising,R1,NA,Parrotfish sp.,Parrotfish,5,1,
9/20/22,9,2022,10:45,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,5,5,
9/20/22,9,2022,10:45,Rising,R2,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
9/20/22,9,2022,10:45,Rising,R2,Dascyllus albisella,Domino damselfish,Damselfish,3,2,
9/20/22,9,2022,10:45,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,3,1,
9/20/22,9,2022,10:45,Rising,R2,NA,Parrotfish sp.,Parrotfish,4,1,
9/20/22,9,2022,10:50,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,4,15,
9/20/22,9,2022,10:50,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,4,3,
9/20/22,9,2022,10:50,Rising,R3,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,15,1,
10/18/22,10,2022,10:00,Rising,R1,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,7,7,
10/18/22,10,2022,10:00,Rising,R1,Lutjanus kasmira,Bluestripe snapper,Grunt,7,3,
10/18/22,10,2022,10:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,15,
10/18/22,10,2022,10:00,Rising,R1,Chaetodon miliaris,Milletseed Butterflyfish,Butterflyfish,10,1,
10/18/22,10,2022,10:00,Rising,R1,NA,Crab,Crab,7,2,
10/18/22,10,2022,10:00,Rising,R1,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,2,1,
10/18/22,10,2022,10:00,Rising,R1,Parrotfish sp. ,Parrotfish sp.,Parrotfish,5,1,
10/18/22,10,2022,10:00,Rising,R2,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,4,
10/18/22,10,2022,10:00,Rising,R2,Acanthurus blochii,Ringtail Surgeonfish,Surgeonfish,3,1,
10/18/22,10,2022,10:00,Rising,R2,Parrotfish sp. ,Parrotfish sp.,Parrotfish,4,4,
10/18/22,10,2022,10:00,Rising,R3,Abudefduf abdominalis,Hawaiian Sergeant,Damselfish,7,19,
10/18/22,10,2022,10:00,Rising,R3,Crab,Crab,Crab,4,1,
