ImageName,Date,Month,Year,Day,Reef,Transect,DistanceTransect,BinNumber,NumberAlgae,NumberSand,QuadratSize,Notes,DominantVegetation
20231025_R1_T1_1-1.2_B1,10/25/23,10,2023,25,R1,T1,1-1.2,B1,4,16,20x20,,Seagrass
20231025_R1_T1_1.2-1.4_B2,10/25/23,10,2023,25,R1,T1,1.2-1.4,B2,9,11,20x20,,Seagrass
20231025_R1_T1_1.4-1.6_B3,10/25/23,10,2023,25,R1,T1,1.4-1.6,B3,8,12,20x20,,Seagrass
20231025_R1_T1_1.6-1.8_B4,10/25/23,10,2023,25,R1,T1,1.6-1.8,B4,8,12,20x20,,Seagrass
20231025_R1_T1_1.8-2_B5,10/25/23,10,2023,25,R1,T1,1.8-2,B5,9,11,20x20,,Seagrass
20231025_R1_T1_2-2.2_B6,10/25/23,10,2023,25,R1,T1,2-2.2,B6,8,12,20x20,,NA
20231025_R1_T1_2.2-2.4_B7,10/25/23,10,2023,25,R1,T1,2.2-2.4,B7,13,7,20x20,,Mix
20231025_R1_T1_2.4-2.6_B8,10/25/23,10,2023,25,R1,T1,2.4-2.6,B8,11,9,20x20,,Mix
20231025_R1_T1_2.6-2.8_B9,10/25/23,10,2023,25,R1,T1,2.6-2.8,B9,14,6,20x20,,Mix
20231025_R1_T1_2.8-3_B10,10/25/23,10,2023,25,R1,T1,2.8-3,B10,11,9,20x20,,Mix
20231025_R1_T1_3-3.2_B11,10/25/23,10,2023,25,R1,T1,3-3.2,B11,13,7,20x20,,Mix
20231025_R1_T1_3.2-3.4_B12,10/25/23,10,2023,25,R1,T1,3.2-3.4,B12,16,4,20x20,,Mix
20231025_R1_T1_3.4-3.6_B13,10/25/23,10,2023,25,R1,T1,3.4-3.6,B13,14,6,20x20,,Mix
20231025_R1_T1_3.6-3.8_B14,10/25/23,10,2023,25,R1,T1,3.6-3.8,B14,13,7,20x20,,Mix
20231025_R1_T1_3.8-4_B15,10/25/23,10,2023,25,R1,T1,3.8-4,B15,8,12,20x20,,Seagrass
20231025_R1_T1_4_4.2_B16,10/25/23,10,2023,25,R1,T1,4-4.2,B16,12,8,20x20,,Mix
20231025_R1_T1_4.2-4.4_B17,10/25/23,10,2023,25,R1,T1,4.2-4.4,B17,13,7,20x20,,Mix
20231025_R1_T1_4.4-4.6_B18,10/25/23,10,2023,25,R1,T1,4.4-4.6,B18,10,10,20x20,,Mix
20231025_R1_T1_4.6-4.8_B19,10/25/23,10,2023,25,R1,T1,4.6-4.8,B19,9,11,20x20,,Mix
20231025_R1_T1_4.8-5_B20,10/25/23,10,2023,25,R1,T1,4.8-5,B20,6,14,20x20,,Mix
20231025_R1_T1_5-5.2_B21,10/25/23,10,2023,25,R1,T1,5-5.2,B21,12,8,20x20,,Mix
20231025_R1_T1_5.2-5.4_B22,10/25/23,10,2023,25,R1,T1,5.2-5.4,B22,5,15,20x20,,Seagrass
20231025_R1_T1_5.4-5.6_B23,10/25/23,10,2023,25,R1,T1,5.4-5.6,B23,10,10,20x20,,Mix
20231025_R1_T1_5.6-5.8_B24,10/25/23,10,2023,25,R1,T1,5.6-5.8,B24,8,12,20x20,,Algae
20231025_R1_T1_5.8-6_B25,10/25/23,10,2023,25,R1,T1,5.8-6,B25,10,10,20x20,,Mix
20231025_R1_T2_1-1.2_B1,10/25/23,10,2023,25,R1,T2,1-1.2,B1,3,17,20x20,Mostly sand,NA
20231025_R1_T2_1.2-1.4_B2,10/25/23,10,2023,25,R1,T2,1.2-1.4,B2,2,18,20x20,Mostly sand,NA
20231025_R1_T2_1.4-1.6_B3,10/25/23,10,2023,25,R1,T2,1.4-1.6,B3,2,18,20x20,,Seagrass
20231025_R1_T2_1.6-1.8_B4,10/25/23,10,2023,25,R1,T2,1.6-1.8,B4,3,17,20x20,,Seagrass
20231025_R1_T2_1.8-2_B5,10/25/23,10,2023,25,R1,T2,1.8-2,B5,3,17,20x20,,NA
20231025_R1_T2_2-2.2_B6,10/25/23,10,2023,25,R1,T2,2-2.2,B6,4,16,20x20,,Mix
20231025_R1_T2_2.2-2.4_B7,10/25/23,10,2023,25,R1,T2,2.2-2.4,B7,3,17,20x20,,Algae
20231025_R1_T2_2.4-2.6_B8,10/25/23,10,2023,25,R1,T2,2.4-2.6,B8,7,13,20x20,,Mix
20231025_R1_T2_2.6-2.8_B9,10/25/23,10,2023,25,R1,T2,2.6-2.8,B9,7,13,20x20,,Algae
20231025_R1_T2_2.8-3_B10,10/25/23,10,2023,25,R1,T2,2.8-3,B10,8,12,20x20,,Mix
20231025_R1_T2_3-3.2_B11,10/25/23,10,2023,25,R1,T2,3-3.2,B11,6,14,20x20,,Seagrass
20231025_R1_T2_3.2-3.4_B12,10/25/23,10,2023,25,R1,T2,3.2-3.4,B12,13,7,20x20,,Algae
