ImageName,Date,Month,Year,Day,Reef,Transect,DistanceTransect,BinNumber,NumberAlgae,NumberSand,QuadratSize,Notes,DominantVegetation
20220922_R1_T1_0.6-0.8_B1,9/22/22,9,2022,22,R1,T1,0.6-0.8,B1,4,16,20x20,,
20220922_R1_T1_0.8-1_B2,9/22/22,9,2022,22,R1,T1,0.8-1,B2,3,17,20x20,,
20220922_R1_T1_1-1.2_B3,9/22/22,9,2022,22,R1,T1,1-1.2,B3,8,12,20x20,,
20220922_R1_T1_1.2-1.4_B4,9/22/22,9,2022,22,R1,T1,1.2-1.4,B4,5,15,20x20,,
20220922_R1_T1_1.4-1.6_B5,9/22/22,9,2022,22,R1,T1,1.4-1.6,B5,10,10,20x20 ,,
20220922_R1_T1_1.6-1.8_B6,9/22/22,9,2022,22,R1,T1,1.6-1.8,B6,12,8,20x20,,
20220922_R1_T1_1.8-2_B7,9/22/22,9,2022,22,R1,T1,1.8-2,B7,2,18,20x20,,
20220922_R1_T1_2-2.2_B8,9/22/22,9,2022,22,R1,T1,2-2.2,B8,7,13,20x20 ,,
20220922_R1_T1_2.2-2.4_B9,9/22/22,9,2022,22,R1,T1,2.2-2.4,B9,6,14,20x20,,
202209_R1_T1_2.4-2.6_B10,9/22/22,9,2022,22,R1,T1,2.4-2.6,B10,3,17,20x20,,
202209_R1_T1_2.8-2.6_B11,9/22/22,9,2022,22,R1,T1,2.8-2.6,B11,2,18,20x20,,
202209_R1_T1_2.8-3_B12,9/22/22,9,2022,22,R1,T1,2.8-3,B12,3,17,20x20,,
202209_R1_T1_3-3.2_B13,9/22/22,9,2022,22,R1,T1,3-3.2,B13,8,12,20x20,,
202209_R1_T1_3.2-3.4_B14,9/22/22,9,2022,22,R1,T1,3.2-3.4,B14,4,16,20x20 ,,
202209_R1_T1_3.4-3.6_B15,9/22/22,9,2022,22,R1,T1,3.4-3.6,B15,9,11,20x20,,
202209_R1_T1_3.6-3.8_B16,9/22/22,9,2022,22,R1,T1,3.6-3.8,B16,6,14,20x20,,
202209_R1_T1_3.8-4_B17,9/22/22,9,2022,22,R1,T1,3.8-4,B17,6,14,20x20 ,,
202209_R1_T1_4-4.2_B18,9/22/22,9,2022,22,R1,T1,4-4.2,B18,17,3,20x20,,
202209_R1_T1_4.2-4.4_B19,9/22/22,9,2022,22,R1,T1,4.2-4.4,B19,3,17,20x20,,
202209_R1_T1_4.4-4.6_B20,9/22/22,9,2022,22,R1,T1,4.4-4.6,B20,12,8,20x20,,
202209_R1_T1_4.6-4.8_B21,9/22/22,9,2022,22,R1,T1,4.6-4.8,B21,7,13,20x20 ,,
202209_R1_T1_4.8-5_B22,9/22/22,9,2022,22,R1,T1,4.8-5,B22,9,11,20x20,,
202209_R1_T1_5-5.2_B23,9/22/22,9,2022,22,R1,T1,5-5.2,B23,8,12,20x20,,
202209_R1_T1_5.2-5.4_B24,9/22/22,9,2022,22,R1,T1,5.2-5.4,B24,7,13,20x20 ,,
202209_R1_T1_5.4-5.6_B25,9/22/22,9,2022,22,R1,T1,5.4-5.6,B25,4,16,20x20,,
202209_R1_T2_0.8-1_B1,9/22/22,9,2022,22,R1,T2,0.8-1,B1,0,20,20x20,,
202209_R1_T2_1-1.2_B2,9/22/22,9,2022,22,R1,T2,1-1.2,B2,3,16,20x20,1 point was on the transect ,
202209_R1_T2_1.2-1.4_B3,9/22/22,9,2022,22,R1,T2,1.2-1.4,B3,4,15,20x20,1 point was on the transect,
202209_R1_T2_1.4-1.6_B4,9/22/22,9,2022,22,R1,T2,1.4-1.6,B4,7,12,20x20,1 point was on the transect,
202209_R1_T2_1.6-1.8_B5,9/22/22,9,2022,22,R1,T2,1.6-1.8,B5,4,16,20x20 ,,
202209_R1_T2_1.8-2_B6,9/22/22,9,2022,22,R1,T2,1.8-2,B6,6,13,20x20,1 point was on the transect ,
202209_R1_T2_2-2.2_B7,9/22/22,9,2022,22,R1,T2,2-2.2,B7,8,12,20x20,,
202209_R1_T_2.2-2.4_B8,9/22/22,9,2022,22,R1,T2,2.2-2.4,B8,9,11,20x20 ,,
202209_R1_T2_2.4-2.6_B9,9/22/22,9,2022,22,R1,T2,2.4-2.6,B9,8,12,20x20,,
202209_R1_T2_2.6-2.8_B10,9/22/22,9,2022,22,R1,T2,2.6-2.8,B10,7,13,20x20,,
202209_R1_T2_2.8-3_B11,9/22/22,9,2022,22,R1,T2,2.8-3,B11,3,17,20x20,,
202209_R1_T2_3-3.2_B12,9/22/22,9,2022,22,R1,T2,3-3.2,B12,5,15,20x20,,
202209_R1_T2_3.2-3.4_B13,9/22/22,9,2022,22,R1,T2,3.2-3.4,B13,6,14,20x20,,
202209_R1_T_3.4-3.6_B14,9/22/22,9,2022,22,R1,T2,3.4-3.6,B14,4,16,20x20 ,,
202209_R1_T2_3.6-3.8_B15,9/22/22,9,2022,22,R1,T2,3.6-3.8,B15,5,14,20x20,1 point was on the transect ,
202209_R1_T2_3.8-4_B16,9/22/22,9,2022,22,R1,T2,3.8-4,B16,6,13,20x20,1 point was on the transect ,
202209_R1_T2_4-4.2_B17,9/22/22,9,2022,22,R1,T2,4-4.2,B17,13,7,20x20 ,,
202209_R1_T2_4.2-4.4_B18,9/22/22,9,2022,22,R1,T2,4.2-4.4,B18,6,13,20x20,1 point was on the transect,
202209_R1_T_4.4-4.6_B19,9/22/22,9,2022,22,R1,T2,4.4-4.6,B19,4,14,20x20,2 points on the transect ,
202209_R1_T2_4.6-4.8_B20,9/22/22,9,2022,22,R1,T2,4.6-4.8,B20,3,17,20x20,,
202209_R1_T2_4.8-5_B21,9/22/22,9,2022,22,R1,T2,4.8-5,B21,6,14,20x20 ,,
202209_R1_T2_5-5.2_B22,9/22/22,9,2022,22,R1,T2,5-5.2,B22,3,17,20x20,,
202209_R1_T2_5.2-5.4_B23,9/22/22,9,2022,22,R1,T2,5.2-5.4,B23,12,8,20x20,,
202209_R1_T2_5.4-5.6_B24,9/22/22,9,2022,22,R1,T2,5.4-5.6,B24,5,15,20x20 ,,
202209_R1_T2_5.6-5.8_B25,9/22/22,9,2022,22,R1,T2,5.6-5.8,B25,8,12,20x20,,
20220922_R1_T3_1-1.2_B1,9/22/22,9,2022,22,R1,T3,1-1.2,B1,0,20,20x20,,
20220922_R1_T3_1.2-1.4_B2,9/22/22,9,2022,22,R1,T3,1.2-1.4,B2,1,18,20x20,1 point on the transect ,
20220922_R1_T3_1.4-1.6_B3,9/22/22,9,2022,22,R1,T3,1.4-1.6,B3,0,18,20x20,2 points on the transect ,
20220922_R1_T3_1.6-1.8_B4,9/22/22,9,2022,22,R1,T3,1.6-1.8,B4,5,15,20x20,,
20220922_R1_T3_1.8-2_B5,9/22/22,9,2022,22,R1,T3,1.8-2,B5,8,12,20x20 ,2 points on the transect,
20220922_R1_T3_2-2.2_B6,9/22/22,9,2022,22,R1,T3,2-2.2,B6,3,16,20x20,1 point on the transect ,
20220922_R1_T3_2.2-2.4_B7,9/22/22,9,2022,22,R1,T3,2.2-2.4,B7,4,16,20x20,,
20220922_R1_T3_2.4-2.6_B8,9/22/22,9,2022,22,R1,T3,2.4-2.6,B8,9,11,20x20 ,,
20220922_R1_T3_2.6-2.8_B9,9/22/22,9,2022,22,R1,T3,2.6-2.8,B9,12,8,20x20,,
20220922_R1_T3_2.8-3_B10,9/22/22,9,2022,22,R1,T3,2.8-3,B10,8,12,20x20,,
