Month,Year,Reef_Number,Total_N,Total_P,Phosphate,Sillicate,N+N,Ammonia,Chlorophyll
8,2022,1,8.535328735,0.158330284,0.060522609,2.141939765,0.180497685,0.136224633,0.294642857
8,2022,2,7.790950544,0.168444749,0.038023498,2.460101273,0.207353742,0.121181422,0.330357143
8,2022,3,7.55009938,0.11845595,0.043108297,2.120381281,0.134637176,0.077530395,0.332142857
9,2022,1,7.615505433,0.166479292,0.055719031,2.227456312,0.159503007,0.287643314,0.315384615
9,2022,2,22.98963861,0.354408043,0.264830836,2.86847437,0.180060772,1.20582515,0.334
9,2022,3,6.793374669,0.180254174,0.048395707,2.640806183,0.158781682,0.095842775,0.317307692
10,2022,1,7.094326116,0.177093492,0.030298148,1.013758029,0.105166749,0.754580795,0.958
10,2022,2,6.233153054,0.138739542,0.015574233,1.385888449,0.176249994,0.08135898,0.908
10,2022,3,6.600108561,0.11089206,0.029696392,1.077138007,0.115545496,0.103532816,0.974
11,2022,1,6.03652648,0.206703261,0.111512479,6.002149867,0.247753239,0.223321444,0.96
11,2022,2,5.462993461,0.199076556,0.090263575,8.975776953,0.23680282,0.160176243,0.883928571
11,2022,3,5.478032952,0.204552139,0.08583672,6.42643407,0.235776218,0.112973642,0.977142857
1,2023,1,5.118993474,0.288981011,0.035081663,6.336107998,0.054790282,0.589089881,0.843214286
1,2023,2,5.211902723,0.290133933,0.035483835,5.182092443,0.046234988,0.394189801,0.725555556
1,2023,3,4.959780807,0.293400545,0.047817101,6.140227237,0.078180817,0.529902882,0.631481481
3,2023,1,4.874838542,0.232244479,0.069260248,6.914422408,0.180100683,0.090629087,0.43
3,2023,2,4.45503698,0.238679309,0.076295516,5.511679719,0.254664661,0.176480602,0.4325
3,2023,3,6.11862036,0.306537523,0.102776091,8.605109106,0.22483907,0.176987314,0.6625
4,2023,1,5.887215724,0.156130661,0.0349551,4.40256608,0.08166874,0.364368766,0.1832
4,2023,2,5.617603677,0.211128104,0.045316601,2.56301445,0.129794962,0.244249738,0.1598
4,2023,3,5.355195006,0.267899658,0.129912503,3.452072224,0.113297148,0.313296964,0.154
5,2023,1,8.971480326,0.130475013,0.045465836,4.793628083,0.18742629,0.293307117,0.278
5,2023,2,7.854265826,0.178036942,0.047074535,2.394623939,0.226966875,0.499237132,0.276
5,2023,3,9.090723955,0.147447319,0.03117681,2.240642915,0.141328231,0.24580112,0.254
6,2023,1,7.197585893,0.21224667,0.08649307,4.819513683,0.166649486,0.216962542,0.49
6,2023,2,6.022254034,0.172906193,0.080162574,3.877001176,0.130393681,0.205193796,0.286
6,2023,3,6.056415929,0.173481907,0.06935094,3.644787949,0.115764146,0.2408164,0.226086957
7,2023,1,5.995402125,0.175646587,0.059721545,1.555083954,0.137705006,0.25834405,0.48
7,2023,2,6.55375657,0.144941809,0.062896265,2.155840027,0.177623383,0.02,0.334
7,2023,3,5.700654138,0.141318264,0.054614387,1.720809767,0.158959086,0.02,0.374
8,2023,1,7.246765229,0.099933563,0.037360473,1.598622092,0.145385052,0.240883472,0.298
8,2023,2,7.390630317,0.097454295,0.041455402,1.600377662,0.15190416,0.260639905,0.286
8,2023,3,7.593269558,0.145513948,0.046194477,1.611262196,0.152975794,0.083738273,0.304
9,2023,1,6.404799592,0.129326573,0.02902105,1.499202342,0.215553937,0.430256301,0.383928571
9,2023,2,6.440169502,0.109801933,0.034511955,4.679684101,0.271548811,0.104166032,0.4125
9,2023,3,5.752285732,0.087184281,0.046508892,3.261302359,0.192032579,0.107945022,0.424137931
10,2023,1,6.513027627,0.093991402,0.048523414,6.734667055,0.262628616,0.396537822,0.786
10,2023,2,5.917636472,0.08,0.043038954,9.17399528,0.224189478,0.073814145,0.692
10,2023,3,5.998293977,0.088023694,0.045898373,6.933525334,0.168666278,0.066226874,0.772
12,2023,1,7.604394806,0.118919648,0.025882694,2.011332736,0.211492101,1.068323953,0.23
12,2023,2,6.493391436,0.111474925,0.016563116,2.570486181,0.198707316,0.454560791,0.228
12,2023,3,6.158392656,0.113042235,0.043501797,2.242503482,0.145228476,0.471653974,0.222
