"","Month","Reef","Year","Day","mean_cover","sd_veg","HaloBins1SD","HaloBins2SD","halosize","halosize2","Date","daily_temp","rolling_average_14","rolling_average_7","rolling_max_14","rolling_max_7","Total_N","Total_P","Phosphate","Sillicate","N.N","Ammonia","Chlorophyll","total_number","total_mass","total_number_herbivore","total_mass_herbivore","Reef2"
"1",1,"R1",2023,18,0.498197478991597,0.226493884785912,1,0,20,0,2023-01-18,25.7264814814815,25.322294973545,25.562996031746,26.1536574074074,26.1536574074074,5.118993474,0.288981011,0.035081663,6.336107998,0.054790282,0.589089881,0.843214286,8,23.1632643720184,6,6.94690929675479,1
"2",1,"R2",2023,18,0.477895424836601,0.212871885647717,2,0,40,0,2023-01-18,25.7264814814815,25.322294973545,25.562996031746,26.1536574074074,26.1536574074074,5.211902723,0.290133933,0.035483835,5.182092443,0.046234988,0.394189801,0.725555556,8,545.901562172992,8,545.901562172992,2
"3",1,"R3",2023,18,0.308666666666667,0.161574460563253,0,0,0,0,2023-01-18,25.7264814814815,25.322294973545,25.562996031746,26.1536574074074,26.1536574074074,4.959780807,0.293400545,0.047817101,6.140227237,0.078180817,0.529902882,0.631481481,9,17.5608024570943,9,17.5608024570943,3
"4",10,"R1",2022,18,0.248264556816879,0.168671504060296,0,0,0,0,2022-10-18,28.1641203703704,28.142251984127,27.8199338624339,29.0881481481481,28.3275,7.094326116,0.177093492,0.030298148,1.013758029,0.105166749,0.754580795,0.958,28,57.0333546315552,24,27.7100970214914,1
"5",10,"R1",2023,25,0.384,0.167686967051464,1,0,20,0,2023-10-25,27.8370185185185,28.1415072751323,27.9114814814815,29.2484444444444,28.1747407407407,6.513027627,0.093991402,0.048523414,6.734667055,0.262628616,0.396537822,0.786,52,149.047450613696,49,88.5186791552452,1
"6",10,"R2",2022,18,0.138701754385965,0.118116229568399,0,0,0,0,2022-10-18,28.1641203703704,28.142251984127,27.8199338624339,29.0881481481481,28.3275,6.233153054,0.138739542,0.015574233,1.385888449,0.176249994,0.08135898,0.908,9,18.1993693036009,9,18.1993693036009,2
"7",10,"R2",2023,25,0.183142857142857,0.107397637869587,0,0,0,0,2023-10-25,27.8370185185185,28.1415072751323,27.9114814814815,29.2484444444444,28.1747407407407,5.917636472,0.08,0.043038954,9.17399528,0.224189478,0.073814145,0.692,28,111.47164213894,27,54.4016188013295,2
"8",10,"R3",2022,18,0.338830409356725,0.199319011453669,2,0,40,0,2022-10-18,28.1641203703704,28.142251984127,27.8199338624339,29.0881481481481,28.3275,6.600108561,0.11089206,0.029696392,1.077138007,0.115545496,0.103532816,0.974,26,64.4336531720386,26,64.4336531720386,3
"9",10,"R3",2023,25,0.159333333333333,0.100233960546548,0,0,0,0,2023-10-25,27.8370185185185,28.1415072751323,27.9114814814815,29.2484444444444,28.1747407407407,5.998293977,0.088023694,0.045898373,6.933525334,0.168666278,0.066226874,0.772,40,306.365307410311,40,306.365307410311,3
"10",11,"R1",2022,30,0.565333333333333,0.229419557434264,1,0,20,0,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,6.03652648,0.206703261,0.111512479,6.002149867,0.247753239,0.223321444,0.96,28,35.9190498247194,23,19.916622565248,1
"11",11,"R2",2022,30,0.610701754385965,0.237626854382213,1,1,20,20,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,5.462993461,0.199076556,0.090263575,8.975776953,0.23680282,0.160176243,0.883928571,12,377.329943081713,12,377.329943081713,2
"12",11,"R3",2022,30,0.725703703703704,0.176007501626871,1,0,20,0,2022-11-30,26.2238425925926,25.2131481481482,24.8876322751323,26.7470833333333,26.2238425925926,5.478032952,0.204552139,0.08583672,6.42643407,0.235776218,0.112973642,0.977142857,29,48.1646514474185,26,31.9435980490126,3
"13",12,"R1",2023,4,0.563555555555556,0.203344655816299,1,0,20,0,2023-12-04,24.9801851851852,25.1851719576719,24.9965740740741,26.1227314814815,26.1165740740741,7.604394806,0.118919648,0.025882694,2.011332736,0.211492101,1.068323953,0.23,46,144.173741349028,42,46.7089198867188,1
"14",12,"R2",2023,4,0.312666666666667,0.190499580288488,0,0,0,0,2023-12-04,24.9801851851852,25.1851719576719,24.9965740740741,26.1227314814815,26.1165740740741,6.493391436,0.111474925,0.016563116,2.570486181,0.198707316,0.454560791,0.228,9,78.6186488943906,8,69.7899653000842,2
"15",12,"R3",2023,4,0.316,0.175368338231432,1,0,20,0,2023-12-04,24.9801851851852,25.1851719576719,24.9965740740741,26.1227314814815,26.1165740740741,6.158392656,0.113042235,0.043501797,2.242503482,0.145228476,0.471653974,0.222,27,50.3759194219518,27,50.3759194219518,3
"16",3,"R1",2023,6,0.73830809901466,0.153349057459909,1,0,20,0,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,4.874838542,0.232244479,0.069260248,6.914422408,0.180100683,0.090629087,0.43,7,163.210708983243,6,139.116387240165,1
"17",3,"R2",2023,6,0.608520942880076,0.273436534372243,2,2,40,40,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,4.45503698,0.238679309,0.076295516,5.511679719,0.254664661,0.176480602,0.4325,6,669.501209213417,6,669.501209213417,2
"18",3,"R3",2023,6,0.628022759601707,0.259024654365493,1,0,20,0,2023-03-06,24.6269444444444,23.8300165343915,23.8633267195767,24.6269444444444,24.6269444444444,6.11862036,0.306537523,0.102776091,8.605109106,0.22483907,0.176987314,0.6625,7,75.5069868208077,7,75.5069868208077,3
"19",4,"R1",2023,6,0.624149607273177,0.233727610253596,0,0,0,0,2023-04-06,25.7326296296296,26.2545033068783,25.5633055555556,28.1211574074074,26.1427777777778,5.887215724,0.156130661,0.0349551,4.40256608,0.08166874,0.364368766,0.1832,11,130.197617028193,9,113.807490210894,1
"20",4,"R2",2023,6,0.38959231411863,0.19348505050907,0,0,0,0,2023-04-06,25.7326296296296,26.2545033068783,25.5633055555556,28.1211574074074,26.1427777777778,5.617603677,0.211128104,0.045316601,2.56301445,0.129794962,0.244249738,0.1598,7,169.270163290967,7,169.270163290967,2
"21",4,"R3",2023,6,0.519122807017544,0.232902003138783,0,0,0,0,2023-04-06,25.7326296296296,26.2545033068783,25.5633055555556,28.1211574074074,26.1427777777778,5.355195006,0.267899658,0.129912503,3.452072224,0.113297148,0.313296964,0.154,8,96.0706617516144,8,96.0706617516144,3
"22",5,"R1",2023,17,0.136035087719298,0.128786131182812,0,0,0,0,2023-05-17,25.8206944444444,26.0223677248677,26.2925595238095,27.3554166666667,27.3554166666667,8.971480326,0.130475013,0.045465836,4.793628083,0.18742629,0.293307117,0.278,7,61.66936929862,6,58.2906387889014,1
"23",5,"R2",2023,17,0.138175438596491,0.124516263466805,0,0,0,0,2023-05-17,25.8206944444444,26.0223677248677,26.2925595238095,27.3554166666667,27.3554166666667,7.854265826,0.178036942,0.047074535,2.394623939,0.226966875,0.499237132,0.276,6,216.295114971772,5,140.26564089466,2
"24",5,"R3",2023,17,0.124021280051982,0.092809245067967,0,0,0,0,2023-05-17,25.8206944444444,26.0223677248677,26.2925595238095,27.3554166666667,27.3554166666667,9.090723955,0.147447319,0.03117681,2.240642915,0.141328231,0.24580112,0.254,8,304.246209690697,7,295.478203162085,3
"25",6,"R1",2023,30,0.382984859408796,0.234189614921558,0,0,0,0,2023-06-30,26.5162037037037,27.8644014550265,26.7253637566137,30.342962962963,27.1363888888889,7.197585893,0.21224667,0.08649307,4.819513683,0.166649486,0.216962542,0.49,12,375.069621157161,11,350.975299414083,1
"26",6,"R2",2023,30,0.207669172932331,0.211459479753382,1,0,20,0,2023-06-30,26.5162037037037,27.8644014550265,26.7253637566137,30.342962962963,27.1363888888889,6.022254034,0.172906193,0.080162574,3.877001176,0.130393681,0.205193796,0.286,7,465.804126719664,5,453.002706289266,2
"27",6,"R3",2023,30,0.231899004267425,0.174786118574325,0,0,0,0,2023-06-30,26.5162037037037,27.8644014550265,26.7253637566137,30.342962962963,27.1363888888889,6.056415929,0.173481907,0.06935094,3.644787949,0.115764146,0.2408164,0.226086957,14,278.725958256923,13,254.631636513845,3
"28",7,"R1",2023,23,0.821040935672515,0.103609330381465,0,0,0,0,2023-07-23,28.94125,27.6661904761905,27.9283531746032,28.94125,28.94125,5.995402125,0.175646587,0.059721545,1.555083954,0.137705006,0.25834405,0.48,28,422.302615512015,27,409.501195081616,1
"29",7,"R2",2023,23,0.775,0.143731638075212,0,0,0,0,2023-07-23,28.94125,27.6661904761905,27.9283531746032,28.94125,28.94125,6.55375657,0.144941809,0.062896265,2.155840027,0.177623383,0.02,0.334,19,620.737018260998,18,611.969011732386,2
"30",7,"R3",2023,23,0.826884779516358,0.101807247499535,0,0,0,0,2023-07-23,28.94125,27.6661904761905,27.9283531746032,28.94125,28.94125,5.700654138,0.141318264,0.054614387,1.720809767,0.158959086,0.02,0.374,13,345.908147309246,12,269.878673232135,3
